,loyalty_number,year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed
69,105835,2018,5,4,8072,12108.0,0,0
70,105835,2018,12,3,2526,3789.0,0,0
71,105835,2018,9,2,2492,3738.0,0,0
72,105835,2018,2,0,0,0.0,0,0
73,105835,2018,3,0,0,0.0,0,0
74,105835,2018,4,0,0,0.0,0,0
75,105835,2018,7,0,0,0.0,0,0
76,105835,2018,8,0,0,0.0,0,0
77,105841,2018,6,24,33312,49968.0,0,0
78,105841,2018,7,20,29400,44100.0,522,94
79,105841,2018,12,9,8541,,0,0
80,105841,2018,9,8,13968,20952.0,0,0
81,105841,2018,11,6,9354,14031.0,0,0
82,105841,2018,2,3,5265,,0,0
83,105841,2018,4,2,4296,6444.0,0,0
84,105841,2018,3,1,1792,2688.0,0,0
85,105841,2018,5,0,0,0.0,0,0
86,105841,2018,8,0,0,0.0,0,0
87,105841,2018,10,0,0,0.0,0,0
88,106046,2018,6,20,45180,67770.0,0,0
89,106046,2018,12,9,14337,,396,71
90,106046,2018,9,8,18864,28296.0,0,0
91,106046,2018,7,4,5980,8970.0,0,0
92,106046,2018,8,4,9576,14364.0,0,0
93,106046,2018,10,2,3302,4953.0,0,0
94,106046,2018,4,1,1490,2235.0,547,98
95,106046,2018,2,0,0,0.0,0,0
96,106046,2018,3,0,0,0.0,0,0
97,106046,2018,5,0,0,0.0,0,0
98,106046,2018,11,0,0,0.0,0,0
99,107519,2018,5,16,23968,35952.0,0,0
100,107519,2018,7,16,25280,37920.0,0,0
101,107519,2018,8,12,13788,20682.0,0,0
102,107519,2018,9,6,10200,15300.0,0,0
103,107519,2018,10,6,14118,21177.0,0,0
104,107519,2018,4,4,6076,9114.0,0,0
105,107519,2018,3,1,1863,,501,90
106,107519,2018,2,0,0,0.0,0,0
107,107519,2018,6,0,0,0.0,0,0
108,107519,2018,11,0,0,0.0,0,0
109,107519,2018,12,0,0,0.0,0,0
110,110065,2018,7,28,65184,97776.0,0,0
111,110065,2018,5,20,22680,34020.0,0,0
112,110065,2018,6,16,10976,16464.0,0,0
113,110065,2018,12,12,11064,16596.0,0,0
114,110065,2018,9,8,12728,19092.0,0,0
115,110065,2018,11,6,6468,9702.0,0,0
116,110065,2018,8,4,7656,11484.0,0,0
117,110065,2018,10,2,2350,3525.0,0,0
118,110065,2018,4,1,1818,2727.0,0,0
119,110065,2018,2,0,0,0.0,0,0
120,110065,2018,3,0,0,0.0,0,0
121,110142,2018,6,20,37340,56010.0,0,0
122,110142,2018,7,20,21880,32820.0,0,0
123,110142,2018,8,16,26704,40056.0,0,0
124,110142,2018,5,8,7312,10968.0,0,0
125,110142,2018,3,5,5105,,0,0
126,110142,2018,10,4,8556,12834.0,0,0
127,110142,2018,2,0,0,0.0,0,0
128,110142,2018,4,0,0,0.0,334,60
129,110142,2018,9,0,0,0.0,0,0
130,110142,2018,11,0,0,0.0,0,0
131,110142,2018,12,0,0,0.0,0,0
132,110262,2018,5,16,28832,43248.0,0,0
133,110262,2018,12,15,23985,,0,0
134,110262,2018,11,6,9726,14589.0,0,0
135,110262,2018,6,4,7828,11742.0,451,81
136,110262,2018,10,2,4218,6327.0,0,0
137,110262,2018,2,1,658,987.0,0,0
138,110262,2018,4,1,1304,1956.0,357,64
139,110262,2018,3,0,0,0.0,0,0
140,110262,2018,7,0,0,0.0,0,0
141,110262,2018,8,0,0,0.0,0,0
142,110262,2018,9,0,0,0.0,0,0
143,112522,2018,7,20,35260,52890.0,0,0
144,112522,2018,5,8,9800,14700.0,0,0
145,112522,2018,9,6,3198,4797.0,0,0
146,112522,2018,8,4,2452,3678.0,0,0
147,112522,2018,4,3,7500,11250.0,0,0
148,112522,2018,12,3,5724,8586.0,0,0
149,112522,2018,3,2,2692,4038.0,0,0
150,112522,2018,10,2,1028,1542.0,0,0
151,112522,2018,11,2,1432,2148.0,0,0
152,112522,2018,2,0,0,0.0,0,0
153,112522,2018,6,0,0,0.0,0,0
154,113874,2018,7,20,47500,71250.0,0,0
155,113874,2018,12,9,19260,28890.0,0,0
156,113874,2018,3,4,2256,3384.0,0,0
157,113874,2018,5,4,2792,4188.0,0,0
158,113874,2018,4,3,4845,,0,0
159,113874,2018,11,2,2122,3183.0,0,0
160,113874,2018,2,0,0,0.0,0,0
161,113874,2018,6,0,0,0.0,0,0
162,113874,2018,8,0,0,0.0,0,0
163,113874,2018,9,0,0,0.0,0,0
164,113874,2018,10,0,0,0.0,0,0
165,114131,2018,6,16,22800,34200.0,0,0
166,114131,2018,8,12,25176,37764.0,0,0
167,114131,2018,12,9,13482,20223.0,0,0
168,114131,2018,10,8,17552,26328.0,0,0
169,114131,2018,9,2,3388,5082.0,0,0
170,114131,2018,11,2,2374,3561.0,0,0
171,114131,2018,5,0,0,0.0,440,79
172,114131,2018,2,0,0,0.0,0,0
173,114131,2018,3,0,0,0.0,0,0
174,114131,2018,4,0,0,0.0,0,0
175,114131,2018,7,0,0,0.0,0,0
176,115505,2018,6,20,49320,73980.0,0,0
177,115505,2018,11,4,7824,11736.0,0,0
178,115505,2018,10,2,2290,3435.0,0,0
179,115505,2018,2,0,0,0.0,0,0
180,115505,2018,3,0,0,0.0,0,0
181,115505,2018,4,0,0,0.0,0,0
182,115505,2018,5,0,0,0.0,0,0
183,115505,2018,7,0,0,0.0,0,0
184,115505,2018,8,0,0,0.0,0,0
185,115505,2018,9,0,0,0.0,0,0
186,115505,2018,12,0,0,0.0,0,0
187,116895,2018,8,20,24680,37020.0,0,0
188,116895,2018,5,12,6828,10242.0,0,0
189,116895,2018,11,4,8896,13344.0,0,0
190,116895,2018,10,2,4266,6399.0,0,0
191,116895,2018,2,0,0,0.0,0,0
192,116895,2018,12,0,0,0.0,497,89
193,116895,2018,3,0,0,0.0,0,0
194,116895,2018,4,0,0,0.0,0,0
195,116895,2018,6,0,0,0.0,0,0
196,116895,2018,7,0,0,0.0,0,0
197,116895,2018,9,0,0,0.0,0,0
198,117482,2018,8,20,14300,21450.0,0,0
199,117482,2018,6,16,14384,21576.0,511,92
200,117482,2018,7,12,13500,20250.0,0,0
201,117482,2018,12,12,13248,19872.0,0,0
202,117482,2018,5,8,15448,23172.0,0,0
203,117482,2018,11,6,7344,11016.0,0,0
204,117482,2018,4,3,4752,7128.0,0,0
205,117482,2018,2,1,1379,,0,0
206,117482,2018,3,0,0,0.0,0,0
207,117482,2018,9,0,0,0.0,0,0
208,117482,2018,10,0,0,0.0,0,0
209,117915,2018,8,24,49584,74376.0,0,0
210,117915,2018,7,16,39056,58584.0,0,0
211,117915,2018,5,12,7008,10512.0,0,0
212,117915,2018,6,12,23928,35892.0,0,0
213,117915,2018,10,8,8312,12468.0,0,0
214,117915,2018,4,3,3600,5400.0,0,0
215,117915,2018,11,2,3420,5130.0,0,0
216,117915,2018,2,0,0,0.0,0,0
217,117915,2018,3,0,0,0.0,0,0
218,117915,2018,9,0,0,0.0,0,0
219,117915,2018,12,0,0,0.0,0,0
220,118418,2018,7,24,41880,62820.0,0,0
221,118418,2018,6,20,22840,34260.0,0,0
222,118418,2018,12,15,11445,,0,0
223,118418,2018,8,12,17100,25650.0,0,0
224,118418,2018,9,4,3504,5256.0,0,0
225,118418,2018,4,3,5796,8694.0,0,0
226,118418,2018,2,1,927,,355,64
227,118418,2018,3,0,0,0.0,0,0
228,118418,2018,5,0,0,0.0,0,0
229,118418,2018,10,0,0,0.0,0,0
230,118418,2018,11,0,0,0.0,0,0
231,119198,2018,6,20,15260,22890.0,0,0
232,119198,2018,9,6,8496,12744.0,0,0
233,119198,2018,10,6,9438,14157.0,0,0
234,119198,2018,8,4,5304,7956.0,0,0
235,119198,2018,12,3,2541,,0,0
236,119198,2018,11,2,1808,2712.0,0,0
237,119198,2018,2,0,0,0.0,0,0
238,119198,2018,3,0,0,0.0,0,0
239,119198,2018,4,0,0,0.0,0,0
240,119198,2018,5,0,0,0.0,0,0
241,119198,2018,7,0,0,0.0,0,0
242,119634,2018,8,16,27680,41520.0,0,0
243,119634,2018,6,12,20748,31122.0,0,0
244,119634,2018,9,10,10480,15720.0,0,0
245,119634,2018,5,8,19136,28704.0,0,0
246,119634,2018,11,6,11694,17541.0,0,0
247,119634,2018,4,3,2733,,0,0
248,119634,2018,3,3,7332,10998.0,0,0
249,119634,2018,2,2,3846,5769.0,0,0
250,119634,2018,7,0,0,0.0,0,0
251,119634,2018,10,0,0,0.0,0,0
252,119634,2018,12,0,0,0.0,0,0
253,119638,2018,8,20,14380,21570.0,0,0
254,119638,2018,6,16,18640,27960.0,0,0
255,119638,2018,7,16,32560,48840.0,0,0
256,119638,2018,3,1,1616,2424.0,0,0
257,119638,2018,2,0,0,0.0,0,0
258,119638,2018,4,0,0,0.0,0,0
259,119638,2018,5,0,0,0.0,0,0
260,119638,2018,9,0,0,0.0,0,0
261,119638,2018,10,0,0,0.0,0,0
262,119638,2018,11,0,0,0.0,0,0
263,119638,2018,12,0,0,0.0,0,0
264,121351,2018,5,8,11400,17100.0,0,0
265,121351,2018,2,2,1644,2466.0,0,0
266,121351,2018,3,1,1627,,0,0
267,121351,2018,4,0,0,0.0,0,0
268,121351,2018,6,0,0,0.0,0,0
269,121351,2018,7,0,0,0.0,0,0
270,121351,2018,8,0,0,0.0,0,0
271,121351,2018,9,0,0,0.0,0,0
272,121351,2018,10,0,0,0.0,0,0
273,121351,2018,11,0,0,0.0,0,0
274,121351,2018,12,0,0,0.0,0,0
275,122519,2018,8,16,39520,59280.0,0,0
276,122519,2018,5,12,25128,37692.0,0,0
277,122519,2018,10,8,16816,25224.0,0,0
278,122519,2018,3,2,4284,6426.0,0,0
279,122519,2018,9,2,4118,6177.0,0,0
280,122519,2018,4,1,1826,2739.0,0,0
281,122519,2018,2,0,0,0.0,0,0
282,122519,2018,6,0,0,0.0,0,0
283,122519,2018,7,0,0,0.0,0,0
284,122519,2018,12,0,0,0.0,733,132
285,122519,2018,11,0,0,0.0,0,0
286,122797,2018,8,20,15460,23190.0,0,0
287,122797,2018,5,12,26148,39222.0,0,0
288,122797,2018,6,12,22092,33138.0,0,0
289,122797,2018,9,6,9612,14418.0,0,0
290,122797,2018,7,4,9152,13728.0,0,0
291,122797,2018,11,4,9500,14250.0,0,0
292,122797,2018,2,0,0,0.0,0,0
293,122797,2018,3,0,0,0.0,0,0
294,122797,2018,4,0,0,0.0,0,0
295,122797,2018,10,0,0,0.0,0,0
296,122797,2018,12,0,0,0.0,0,0
297,124351,2018,2,0,0,0.0,0,0
298,124351,2018,3,0,0,0.0,0,0
299,124351,2018,4,0,0,0.0,0,0
300,124351,2018,5,0,0,0.0,0,0
301,124351,2018,6,0,0,0.0,0,0
302,124351,2018,7,0,0,0.0,0,0
303,124351,2018,8,0,0,0.0,0,0
304,124351,2018,9,0,0,0.0,0,0
305,124351,2018,10,0,0,0.0,0,0
306,124351,2018,11,0,0,0.0,0,0
307,124351,2018,12,0,0,0.0,0,0
308,125068,2018,6,20,20660,30990.0,0,0
309,125068,2018,7,16,22016,33024.0,0,0
310,125068,2018,12,15,21240,31860.0,433,78
311,125068,2018,11,8,19480,29220.0,0,0
312,125068,2018,9,6,6960,10440.0,0,0
313,125068,2018,10,2,4046,6069.0,0,0
314,125068,2018,2,0,0,0.0,0,0
315,125068,2018,3,0,0,0.0,0,0
316,125068,2018,4,0,0,0.0,0,0
317,125068,2018,5,0,0,0.0,0,0
318,125068,2018,8,0,0,0.0,0,0
319,129409,2018,5,20,44900,67350.0,0,0
320,129409,2018,7,20,25000,37500.0,0,0
321,129409,2018,12,9,8253,,0,0
322,129409,2018,3,3,4377,,0,0
323,129409,2018,4,1,1842,2763.0,0,0
324,129409,2018,2,0,0,0.0,0,0
325,129409,2018,6,0,0,0.0,0,0
326,129409,2018,8,0,0,0.0,0,0
327,129409,2018,9,0,0,0.0,0,0
328,129409,2018,10,0,0,0.0,0,0
329,129409,2018,11,0,0,0.0,0,0
330,129533,2018,2,0,0,0.0,0,0
331,129533,2018,3,0,0,0.0,0,0
332,129533,2018,4,0,0,0.0,0,0
333,129533,2018,5,0,0,0.0,0,0
334,129533,2018,6,0,0,0.0,0,0
335,129533,2018,7,0,0,0.0,0,0
336,129533,2018,8,0,0,0.0,0,0
337,129533,2018,9,0,0,0.0,0,0
338,129533,2018,10,0,0,0.0,0,0
339,129533,2018,11,0,0,0.0,0,0
340,129533,2018,12,0,0,0.0,0,0
341,130032,2018,8,8,16128,24192.0,0,0
342,130032,2018,7,4,5492,8238.0,0,0
343,130032,2018,9,2,1340,2010.0,0,0
344,130032,2018,11,2,1828,2742.0,0,0
345,130032,2018,4,1,1898,2847.0,0,0
346,130032,2018,2,0,0,0.0,0,0
347,130032,2018,3,0,0,0.0,0,0
348,130032,2018,5,0,0,0.0,0,0
349,130032,2018,6,0,0,0.0,0,0
350,130032,2018,10,0,0,0.0,0,0
351,130032,2018,12,0,0,0.0,0,0
352,130446,2018,6,20,44420,66630.0,0,0
353,130446,2018,8,8,6104,9156.0,0,0
354,130446,2018,9,6,6432,9648.0,0,0
355,130446,2018,10,2,4514,6771.0,392,71
356,130446,2018,11,2,2234,3351.0,0,0
357,130446,2018,3,0,0,0.0,0,0
358,130446,2018,2,0,0,0.0,0,0
359,130446,2018,4,0,0,0.0,0,0
360,130446,2018,5,0,0,0.0,0,0
361,130446,2018,7,0,0,0.0,0,0
362,130446,2018,12,0,0,0.0,0,0
363,130497,2018,8,16,31056,46584.0,0,0
364,130497,2018,12,15,36345,,0,0
365,130497,2018,10,6,4764,7146.0,0,0
366,130497,2018,11,6,14424,21636.0,0,0
367,130497,2018,7,4,3244,4866.0,0,0
368,130497,2018,2,3,3615,,0,0
369,130497,2018,9,2,4462,6693.0,0,0
370,130497,2018,4,1,2000,3000.0,0,0
371,130497,2018,3,0,0,0.0,0,0
372,130497,2018,5,0,0,0.0,0,0
373,130497,2018,6,0,0,0.0,0,0
374,132563,2018,2,0,0,0.0,0,0
375,132563,2018,3,0,0,0.0,0,0
376,132563,2018,4,0,0,0.0,0,0
377,132563,2018,5,0,0,0.0,0,0
378,132563,2018,6,0,0,0.0,0,0
379,132563,2018,7,0,0,0.0,0,0
380,132563,2018,8,0,0,0.0,0,0
381,132563,2018,9,0,0,0.0,0,0
382,132563,2018,10,0,0,0.0,0,0
383,132563,2018,11,0,0,0.0,0,0
384,132563,2018,12,0,0,0.0,0,0
385,133128,2018,7,16,15408,23112.0,0,0
386,133128,2018,6,8,17752,26628.0,0,0
387,133128,2018,8,8,17160,25740.0,0,0
388,133128,2018,9,6,10212,15318.0,0,0
389,133128,2018,11,6,13452,20178.0,0,0
390,133128,2018,12,6,4188,6282.0,0,0
391,133128,2018,3,3,5721,,372,67
392,133128,2018,2,0,0,0.0,0,0
393,133128,2018,4,0,0,0.0,0,0
394,133128,2018,5,0,0,0.0,0,0
395,133128,2018,10,0,0,0.0,0,0
396,133324,2018,7,24,55512,83268.0,0,0
397,133324,2018,5,16,24256,36384.0,0,0
398,133324,2018,12,15,27225,,0,0
399,133324,2018,6,12,6540,9810.0,0,0
400,133324,2018,8,8,9512,14268.0,0,0
401,133324,2018,9,8,13648,20472.0,0,0
402,133324,2018,3,4,5700,8550.0,0,0
403,133324,2018,4,4,9504,14256.0,400,72
404,133324,2018,10,2,3980,5970.0,492,89
405,133324,2018,2,0,0,0.0,0,0
406,133324,2018,11,0,0,0.0,0,0
407,133956,2018,5,16,15712,23568.0,0,0
408,133956,2018,7,16,16448,24672.0,0,0
409,133956,2018,6,12,14748,22122.0,0,0
410,133956,2018,12,9,19431,,0,0
411,133956,2018,10,8,17088,25632.0,0,0
412,133956,2018,3,3,6048,9072.0,0,0
413,133956,2018,2,2,3714,5571.0,0,0
414,133956,2018,4,0,0,0.0,0,0
415,133956,2018,8,0,0,0.0,0,0
416,133956,2018,9,0,0,0.0,0,0
417,133956,2018,11,0,0,0.0,0,0
418,134717,2018,8,8,16264,24396.0,705,127
419,134717,2018,11,6,8724,13086.0,0,0
420,134717,2018,5,4,5648,8472.0,0,0
421,134717,2018,7,4,4012,6018.0,0,0
422,134717,2018,4,1,1236,1854.0,0,0
423,134717,2018,2,0,0,0.0,0,0
424,134717,2018,3,0,0,0.0,0,0
425,134717,2018,6,0,0,0.0,0,0
426,134717,2018,9,0,0,0.0,0,0
427,134717,2018,10,0,0,0.0,0,0
428,134717,2018,12,0,0,0.0,0,0
429,135134,2018,7,20,11220,16830.0,860,155
430,135134,2018,9,10,5980,8970.0,0,0
431,135134,2018,8,8,14080,21120.0,0,0
432,135134,2018,4,4,4876,7314.0,0,0
433,135134,2018,5,4,3252,4878.0,0,0
434,135134,2018,6,4,2700,4050.0,0,0
435,135134,2018,11,4,8240,12360.0,0,0
436,135134,2018,3,2,1934,2901.0,0,0
437,135134,2018,2,0,0,0.0,0,0
438,135134,2018,10,0,0,0.0,0,0
439,135134,2018,12,0,0,0.0,0,0
440,135257,2018,12,9,15561,,0,0
441,135257,2018,5,8,19016,28524.0,0,0
442,135257,2018,4,4,9868,14802.0,0,0
443,135257,2018,6,4,2352,3528.0,0,0
444,135257,2018,8,4,6900,10350.0,0,0
445,135257,2018,11,4,5608,8412.0,0,0
446,135257,2018,2,0,0,0.0,0,0
447,135257,2018,3,0,0,0.0,0,0
448,135257,2018,7,0,0,0.0,0,0
449,135257,2018,9,0,0,0.0,0,0
450,135257,2018,10,0,0,0.0,0,0
451,136473,2018,7,16,37328,55992.0,0,0
452,136473,2018,8,16,11808,17712.0,0,0
453,136473,2018,9,6,13020,19530.0,0,0
454,136473,2018,11,6,5532,8298.0,556,100
455,136473,2018,2,3,2358,3537.0,0,0
456,136473,2018,3,1,553,,0,0
457,136473,2018,4,0,0,0.0,0,0
458,136473,2018,5,0,0,0.0,0,0
459,136473,2018,6,0,0,0.0,0,0
460,136473,2018,10,0,0,0.0,0,0
461,136473,2018,12,0,0,0.0,0,0
462,137161,2018,7,24,31824,47736.0,0,0
463,137161,2018,6,8,15624,23436.0,0,0
464,137161,2018,9,8,18224,27336.0,0,0
465,137161,2018,11,6,5160,7740.0,0,0
466,137161,2018,12,6,10632,15948.0,0,0
467,137161,2018,10,4,3040,4560.0,0,0
468,137161,2018,2,2,1482,2223.0,0,0
469,137161,2018,3,0,0,0.0,0,0
470,137161,2018,4,0,0,0.0,0,0
471,137161,2018,5,0,0,0.0,0,0
472,137161,2018,8,0,0,0.0,0,0
473,137852,2018,5,12,7380,11070.0,0,0
474,137852,2018,6,12,15528,23292.0,0,0
475,137852,2018,8,12,18756,28134.0,0,0
476,137852,2018,7,4,3700,5550.0,0,0
477,137852,2018,10,4,2948,4422.0,0,0
478,137852,2018,4,3,2643,,485,87
479,137852,2018,12,3,6528,9792.0,0,0
480,137852,2018,11,2,2066,3099.0,0,0
481,137852,2018,2,0,0,0.0,0,0
482,137852,2018,3,0,0,0.0,0,0
483,137852,2018,9,0,0,0.0,0,0
484,139023,2018,8,16,13264,19896.0,0,0
485,139023,2018,5,12,7884,11826.0,0,0
486,139023,2018,10,8,18592,27888.0,419,75
487,139023,2018,9,8,16312,24468.0,0,0
488,139023,2018,6,4,4256,6384.0,0,0
489,139023,2018,11,4,6168,9252.0,0,0
490,139023,2018,4,2,4094,6141.0,0,0
491,139023,2018,2,0,0,0.0,0,0
492,139023,2018,3,0,0,0.0,0,0
493,139023,2018,7,0,0,0.0,0,0
494,139023,2018,12,0,0,0.0,0,0
495,140077,2018,6,24,55776,83664.0,0,0
496,140077,2018,7,12,23772,35658.0,0,0
497,140077,2018,8,12,8172,12258.0,0,0
498,140077,2018,11,6,3408,5112.0,0,0
499,140077,2018,12,6,6240,9360.0,0,0
500,140077,2018,5,4,4700,7050.0,0,0
501,140077,2018,4,1,1548,2322.0,0,0
502,140077,2018,10,0,0,0.0,468,84
503,140077,2018,2,0,0,0.0,0,0
504,140077,2018,3,0,0,0.0,0,0
505,140077,2018,9,0,0,0.0,0,0
506,141497,2018,7,12,19848,29772.0,0,0
507,141497,2018,4,4,8756,13134.0,0,0
508,141497,2018,6,4,4804,7206.0,0,0
509,141497,2018,9,2,4368,6552.0,0,0
510,141497,2018,2,0,0,0.0,0,0
511,141497,2018,3,0,0,0.0,0,0
512,141497,2018,5,0,0,0.0,0,0
513,141497,2018,8,0,0,0.0,0,0
514,141497,2018,10,0,0,0.0,0,0
515,141497,2018,11,0,0,0.0,0,0
516,141497,2018,12,0,0,0.0,0,0
517,142290,2018,6,24,25752,38628.0,0,0
518,142290,2018,7,12,9336,14004.0,0,0
519,142290,2018,12,9,16803,,0,0
520,142290,2018,3,4,9368,14052.0,0,0
521,142290,2018,9,4,6168,9252.0,0,0
522,142290,2018,2,2,2896,4344.0,0,0
523,142290,2018,4,0,0,0.0,0,0
524,142290,2018,5,0,0,0.0,0,0
525,142290,2018,8,0,0,0.0,0,0
526,142290,2018,10,0,0,0.0,0,0
527,142290,2018,11,0,0,0.0,0,0
528,142609,2018,6,16,33120,49680.0,0,0
529,142609,2018,7,8,14264,21396.0,0,0
530,142609,2018,8,8,5064,7596.0,0,0
531,142609,2018,10,8,6720,10080.0,0,0
532,142609,2018,9,4,6312,9468.0,0,0
533,142609,2018,2,0,0,0.0,0,0
534,142609,2018,3,0,0,0.0,0,0
535,142609,2018,4,0,0,0.0,0,0
536,142609,2018,5,0,0,0.0,0,0
537,142609,2018,11,0,0,0.0,0,0
538,142609,2018,12,0,0,0.0,0,0
539,142621,2018,7,24,22296,33444.0,825,149
540,142621,2018,12,9,10998,16497.0,0,0
541,142621,2018,9,8,8680,13020.0,354,64
542,142621,2018,3,4,9928,14892.0,0,0
543,142621,2018,11,4,6564,9846.0,0,0
544,142621,2018,4,1,865,,0,0
545,142621,2018,2,1,850,1275.0,0,0
546,142621,2018,5,0,0,0.0,0,0
547,142621,2018,6,0,0,0.0,0,0
548,142621,2018,8,0,0,0.0,0,0
549,142621,2018,10,0,0,0.0,0,0
550,142726,2018,6,20,44820,67230.0,0,0
551,142726,2018,7,16,25008,37512.0,0,0
552,142726,2018,5,8,19504,29256.0,0,0
553,142726,2018,10,6,9876,14814.0,0,0
554,142726,2018,8,4,7876,11814.0,0,0
555,142726,2018,11,2,2180,3270.0,346,62
556,142726,2018,2,0,0,0.0,0,0
557,142726,2018,3,0,0,0.0,0,0
558,142726,2018,4,0,0,0.0,0,0
559,142726,2018,9,0,0,0.0,0,0
560,142726,2018,12,0,0,0.0,0,0
561,145449,2018,10,6,9312,13968.0,0,0
562,145449,2018,9,4,7612,11418.0,0,0
563,145449,2018,2,0,0,0.0,0,0
564,145449,2018,3,0,0,0.0,0,0
565,145449,2018,4,0,0,0.0,0,0
566,145449,2018,5,0,0,0.0,0,0
567,145449,2018,6,0,0,0.0,0,0
568,145449,2018,7,0,0,0.0,0,0
569,145449,2018,8,0,0,0.0,0,0
570,145449,2018,11,0,0,0.0,0,0
571,145449,2018,12,0,0,0.0,0,0
572,146090,2018,5,4,2448,3672.0,434,78
573,146090,2018,9,4,2972,4458.0,0,0
574,146090,2018,2,0,0,0.0,0,0
575,146090,2018,3,0,0,0.0,0,0
576,146090,2018,4,0,0,0.0,0,0
577,146090,2018,6,0,0,0.0,0,0
578,146090,2018,7,0,0,0.0,0,0
579,146090,2018,8,0,0,0.0,0,0
580,146090,2018,10,0,0,0.0,0,0
581,146090,2018,11,0,0,0.0,0,0
582,146090,2018,12,0,0,0.0,0,0
583,146099,2018,6,24,16800,25200.0,0,0
584,146099,2018,8,16,25440,38160.0,0,0
585,146099,2018,12,15,16575,,0,0
586,146099,2018,5,8,19920,29880.0,0,0
587,146099,2018,11,6,11502,17253.0,0,0
588,146099,2018,7,4,2984,4476.0,0,0
589,146099,2018,9,2,1546,2319.0,0,0
590,146099,2018,2,0,0,0.0,0,0
591,146099,2018,4,0,0,0.0,0,0
592,146099,2018,3,0,0,0.0,0,0
593,146099,2018,10,0,0,0.0,502,90
594,146702,2018,12,12,23868,35802.0,0,0
595,146702,2018,6,8,17456,26184.0,0,0
596,146702,2018,8,8,14736,22104.0,577,104
597,146702,2018,11,4,6964,10446.0,0,0
598,146702,2018,4,3,4041,,0,0
599,146702,2018,2,0,0,0.0,0,0
600,146702,2018,3,0,0,0.0,0,0
601,146702,2018,5,0,0,0.0,0,0
602,146702,2018,7,0,0,0.0,0,0
603,146702,2018,9,0,0,0.0,0,0
604,146702,2018,10,0,0,0.0,0,0
605,148208,2018,8,12,16968,25452.0,0,0
606,148208,2018,12,12,16452,24678.0,0,0
607,148208,2018,5,4,7048,10572.0,0,0
608,148208,2018,3,1,2312,3468.0,0,0
